course_title;url;price;num_subscribers;num_reviews;num_lectures;level;Rating;content_duration;published_timestamp
A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course;https://www.udemy.com/learnsqlwithsqlserver2014/;35;4183;231;86;Beginner Level;89;14;12/10/14 1:29
A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course;https://www.udemy.com/learnsqlwithsqlserver2014/;35;4183;231;86;Beginner Level;89;14;12/10/14 1:29
A Beginner's Guide to Quantopian Futures API;https://www.udemy.com/quantopian-futures/;20;936;6;11;All Levels;88;15;10/4/17 19:59
A Beginner's Guide to Quantopian Futures API;https://www.udemy.com/quantopian-futures/;20;936;6;11;All Levels;88;15;10/4/17 19:59
A Beginner's Guide to the Meteor JavaScript Framework;https://www.udemy.com/meteorjs/;50;898;132;40;All Levels;6;2;26/9/14 21:27
A Beginner's Guide to the Meteor JavaScript Framework;https://www.udemy.com/meteorjs/;50;898;132;40;All Levels;6;2;26/9/14 21:27
A beginner`s guide to fingerpicking and strumming guitar';https://www.udemy.com/guitar-domination-fingerpicking-strumming-beginners/;0;3481;29;20;All Levels;14;2;13/9/16 16:51
A beginner`s guide to fingerpicking and strumming guitar';https://www.udemy.com/guitar-domination-fingerpicking-strumming-beginners/;0;3481;29;20;All Levels;14;2;13/9/16 16:51
A Beginners Guide to creating Vector Graphics With Photoshop;https://www.udemy.com/beginners-guide-course-to-vector-graphics-with-adobe-photoshop-course/;20;1207;5;19;All Levels;97;2;5/4/15 13:48
A Beginners Guide to creating Vector Graphics With Photoshop;https://www.udemy.com/beginners-guide-course-to-vector-graphics-with-adobe-photoshop-course/;20;1207;5;19;All Levels;97;2;5/4/15 13:48
A Beginners Guide to Technical Analysis of Stock Charts;https://www.udemy.com/beginners-guide-to-technical-analysis/;40;829;78;50;Beginner Level;3;85;15/9/13 10:06
A Beginners Guide to Technical Analysis of Stock Charts;https://www.udemy.com/beginners-guide-to-technical-analysis/;40;829;78;50;Beginner Level;3;85;15/9/13 10:06
A Complete Guide to Becoming a Trader on the Forex Market;https://www.udemy.com/make-a-living-with-forex/;25;562;11;15;All Levels;96;1;28/6/14 0:52
A Complete Guide to Becoming a Trader on the Forex Market;https://www.udemy.com/make-a-living-with-forex/;25;562;11;15;All Levels;96;1;28/6/14 0:52
A Complete Guide to Successful Freelance Logo Design Career;https://www.udemy.com/be-a-successful-logo-designer/;145;2745;61;67;All Levels;63;85;18/2/15 22:39
A Complete Guide to Successful Freelance Logo Design Career;https://www.udemy.com/be-a-successful-logo-designer/;145;2745;61;67;All Levels;63;85;18/2/15 22:39
A Complete Laravel basics from beginner to expert;https://www.udemy.com/learn-laravel-from-beginner-to-expert/;25;3492;61;12;All Levels;94;15;6/12/16 17:07
A Complete Laravel basics from beginner to expert;https://www.udemy.com/learn-laravel-from-beginner-to-expert/;25;3492;61;12;All Levels;94;15;6/12/16 17:07
A Guide to Analog Synths: For the modern EDM enthusiast.;https://www.udemy.com/secrets-of-analog-synths/;20;29;4;37;Beginner Level;11;35;20/4/16 18:05
A Guide to Analog Synths: For the modern EDM enthusiast.;https://www.udemy.com/secrets-of-analog-synths/;20;29;4;37;Beginner Level;11;35;20/4/16 18:05
A Guide To Trade Binary Options Like An Expert;https://www.udemy.com/a-guide-to-trade-binary-options-like-an-expert/;55;4;0;21;All Levels;97;1;18/7/16 16:48
A Guide To Trade Binary Options Like An Expert;https://www.udemy.com/a-guide-to-trade-binary-options-like-an-expert/;55;4;0;21;All Levels;97;1;18/7/16 16:48
A how to guide in HTML;https://www.udemy.com/a-how-to-guide-in-html/;0;7318;205;8;Beginner Level;23;583333333;10/8/14 15:19
A how to guide in HTML;https://www.udemy.com/a-how-to-guide-in-html/;0;7318;205;8;Beginner Level;23;583333333;10/8/14 15:19
A new approach to piano and playing songs for beginners;https://www.udemy.com/contemporary-piano/;50;7140;72;26;All Levels;18;15;11/8/13 15:39
A new approach to piano and playing songs for beginners;https://www.udemy.com/contemporary-piano/;50;7140;72;26;All Levels;18;15;11/8/13 15:39
A Practical Guide to Wealth Creation;https://www.udemy.com/wealth-creation/;35;6;0;7;All Levels;43;1;18/11/16 9:51
A Practical Guide to Wealth Creation;https://www.udemy.com/wealth-creation/;35;6;0;7;All Levels;43;1;18/11/16 9:51
A Value Investing Approach to the Stock Market;https://www.udemy.com/start-investing-the-right-way/;20;1189;12;15;All Levels;98;15;19/2/15 15:40
A Value Investing Approach to the Stock Market;https://www.udemy.com/start-investing-the-right-way/;20;1189;12;15;All Levels;98;15;19/2/15 15:40
A Very Complete Introduction To Laravel;https://www.udemy.com/laravel-4-beginners/;20;2320;114;43;All Levels;76;6;24/8/14 11:47
A Very Complete Introduction To Laravel;https://www.udemy.com/laravel-4-beginners/;20;2320;114;43;All Levels;76;6;24/8/14 11:47
A Year's Worth of Piano Lessons in One Weekend;https://www.udemy.com/a-years-worth-of-piano-lessons-in-one-weekend/;20;244;25;33;Beginner Level;2;6;30/4/14 14:16
A Year's Worth of Piano Lessons in One Weekend;https://www.udemy.com/a-years-worth-of-piano-lessons-in-one-weekend/;20;244;25;33;Beginner Level;2;6;30/4/14 14:16
A-Frame WebVR Programming Tutorial Series (Virtual Reality);https://www.udemy.com/a-frame-webvr/;40;6648;16;22;All Levels;15;15;24/5/17 0:25
A-Frame WebVR Programming Tutorial Series (Virtual Reality);https://www.udemy.com/a-frame-webvr/;40;6648;16;22;All Levels;15;15;24/5/17 0:25
ABC do Adobe Illustrator;https://www.udemy.com/abc-do-adobe-illustrator/;35;115;15;56;All Levels;98;55;6/2/17 9:36
ABC do Adobe Illustrator;https://www.udemy.com/abc-do-adobe-illustrator/;35;115;15;56;All Levels;98;55;6/2/17 9:36
ABC do Photoshop CC;https://www.udemy.com/abc-do-photoshop-cc/;45;431;99;80;All Levels;65;75;21/11/16 12:19
ABC do Photoshop CC;https://www.udemy.com/abc-do-photoshop-cc/;45;431;99;80;All Levels;65;75;21/11/16 12:19
ABC DO VIOLðO E GUITARRA;https://www.udemy.com/abc-do-violao-e-guitarra/;85;25;2;30;All Levels;15;25;3/3/17 13:54
ABC DO VIOLðO E GUITARRA;https://www.udemy.com/abc-do-violao-e-guitarra/;85;25;2;30;All Levels;15;25;3/3/17 13:54
ABRSM Grade III Piano Class - Handel Sonatina in G 2017-2018;https://www.udemy.com/abrsm-grade-iii-piano-class-handel-sonatina-in-g-2017-2018/;20;0;0;5;Beginner Level;34;516666667;6/7/17 11:12
ABRSM Grade III Piano Class - Handel Sonatina in G 2017-2018;https://www.udemy.com/abrsm-grade-iii-piano-class-handel-sonatina-in-g-2017-2018/;20;0;0;5;Beginner Level;34;516666667;6/7/17 11:12
ACCA FA1 Recording Financial Transactions;https://www.udemy.com/acca-fa1-recording-financial-transactions/;50;49;8;27;Intermediate Level;88;35;14/7/15 18:01
ACCA FA1 Recording Financial Transactions;https://www.udemy.com/acca-fa1-recording-financial-transactions/;50;49;8;27;Intermediate Level;88;35;14/7/15 18:01
